Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
SBNY,0.84,7.69,0.65,0.65,71.11,0.0287,565000,265495,1.7,0.0,2,"Volume_Surge, From_Low_Rebound",2025-12-09 03:18:29
UNM,72.82,-1.98,75.71,75.96,31.5,-0.7826,1793100,1204070,83.05,65.68,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:18:29
PGR,223.16,0.12,225.0,225.77,44.71,5.2514,2756600,3043655,292.65,199.9,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:18:30
LEG,11.03,-1.25,9.88,9.36,77.97,0.8747,2018400,2267665,12.03,6.41,2,"Golden_Cross, From_Low_Rebound",2025-12-09 03:18:34
CLOW,0.02,-15.38,0.02,0.02,69.23,0.0013,100,665,0.06,0.02,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:18:35
TPR,117.27,0.83,106.99,110.23,77.56,3.2976,3492100,3180160,118.47,57.71,2,"Near_52W_High, From_Low_Rebound",2025-12-09 03:18:37
BLK,1062.02,-0.95,1043.42,1095.45,64.25,-10.5172,612600,638305,1214.03,762.34,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:18:42
ICE,157.03,-0.5,154.44,155.44,65.38,3.2666,5387600,3507485,188.82,141.12,2,"RSI_Normal, Volume_Surge",2025-12-09 03:18:44
COIN,274.2,1.66,271.03,315.27,54.84,-19.7217,5917400,10071770,444.65,142.58,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:18:45
DASH,225.43,0.19,205.02,237.87,60.69,-4.601,5328900,7077100,285.5,155.4,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:18:45
CVX,148.71,-0.86,151.64,151.98,37.4,-1.4795,10236200,8979770,163.27,127.59,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:18:46
COP,92.88,-0.86,89.34,89.07,64.63,0.901,7974900,6742940,103.48,77.84,2,"Golden_Cross, RSI_Normal",2025-12-09 03:18:47
EOG,110.62,-1.38,108.74,108.0,53.67,0.731,4161900,3586090,134.2,99.8,2,"Golden_Cross, RSI_Normal",2025-12-09 03:18:48
FANG,157.52,-0.68,150.48,145.43,73.83,4.8934,1200700,1600190,175.92,111.64,2,"Golden_Cross, From_Low_Rebound",2025-12-09 03:18:49
KMI,27.29,-1.73,27.09,26.94,51.9,0.2691,12509500,13891400,30.15,23.17,2,"Golden_Cross, RSI_Normal",2025-12-09 03:18:51
TPL,904.15,-2.26,919.54,928.04,38.43,-40.8836,141900,126965,1455.48,836.72,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:18:53
BA,206.27,2.17,192.14,204.58,63.75,-1.9094,8682500,9197845,242.69,128.88,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:18:55
CARR,53.03,-2.32,53.91,56.4,49.59,-1.2505,13049700,7478895,80.78,50.3,2,"RSI_Normal, Volume_Surge",2025-12-09 03:19:01
OTIS,86.12,-0.38,88.06,89.78,38.78,-1.2161,2294600,2352560,105.37,83.46,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:19:01
EMR,135.93,-1.06,130.63,131.39,68.55,0.5459,2536200,2320175,149.03,88.93,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:19:03
HON,191.99,0.34,193.14,194.76,41.75,-2.7462,3239800,3917590,225.29,166.32,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:19:03
DOV,191.28,0.1,184.27,176.12,81.89,3.2379,948700,1101490,219.84,141.82,2,"Golden_Cross, From_Low_Rebound",2025-12-09 03:19:04
PEP,145.63,0.42,145.28,145.25,46.86,1.3426,6312600,6936280,155.29,123.93,2,"Golden_Cross, RSI_Normal",2025-12-09 03:19:08
GIS,45.96,0.07,46.9,47.69,40.38,0.0063,5843800,5868545,65.04,45.15,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:19:09
K,83.44,0.36,82.94,82.57,90.61,0.1902,3754300,2691320,83.47,75.95,2,"Golden_Cross, Near_52W_High",2025-12-09 03:19:09
ADM,57.94,-1.81,58.82,59.83,48.54,0.797,2428400,2981560,64.46,39.88,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:19:10
MDLZ,54.76,-0.27,56.29,58.82,44.35,-0.1817,9884300,9138480,70.58,52.78,2,"RSI_Normal, RSI_Bounce",2025-12-09 03:19:10
HSY,180.78,-0.83,181.32,181.5,54.12,6.4166,1824400,1691785,201.43,135.68,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:19:11
NKE,63.54,-3.52,63.53,65.63,54.5,0.808,12857600,13472170,80.55,51.34,2,"RSI_Normal, From_Low_Rebound",2025-12-09 03:19:14
SBUX,83.41,-2.01,84.98,83.69,49.25,0.9915,10272000,9288320,115.04,73.95,2,"Golden_Cross, RSI_Normal",2025-12-09 03:19:15
